모델명,변수묶음,분할방식,AUC,PR-AUC,Recall,F1,학습시간,전처리버전
로지스틱(튜닝),B셋,봉인(게임12),0.6363,0.5914,0.9421,0.6336,1.8s,v1.2
로지스틱(튜닝),B셋,랜덤,0.7645,0.6755,0.8686,0.6611,1.8s,v1.2
로지스틱(튜닝),B셋,게임(5),0.7147,0.6342,0.8335,0.6372,8.1s,v1.2
랜덤포레스트(튜닝),B셋,봉인(게임12),0.7232,0.6674,0.9583,0.6508,20.7s,v1.2
랜덤포레스트(튜닝),B셋,랜덤,0.8104,0.7479,0.8456,0.6926,24.5s,v1.2
랜덤포레스트(튜닝),B셋,게임(5),0.7575,0.6848,0.8288,0.6626,105.5s,v1.2
XGBoost(튜닝),B셋,봉인(게임12),0.7029,0.6592,0.9196,0.6502,2.4s,v1.2
XGBoost(튜닝),B셋,랜덤,0.7998,0.7325,0.8066,0.6884,2.5s,v1.2
XGBoost(튜닝),B셋,게임(5),0.7493,0.6767,0.791,0.6611,12.3s,v1.2
LightGBM(튜닝),B셋,봉인(게임12),0.7209,0.6769,0.9218,0.6503,1.8s,v1.2
LightGBM(튜닝),B셋,랜덤,0.818,0.7566,0.8517,0.6997,1.8s,v1.2
LightGBM(튜닝),B셋,게임(5),0.7479,0.6772,0.8074,0.6524,9.5s,v1.2
MLP(튜닝),B셋,봉인(게임12),0.6717,0.6252,0.9308,0.6411,11.8s,v1.2
MLP(튜닝),B셋,랜덤,0.8104,0.7422,0.8677,0.689,9.7s,v1.2
MLP(튜닝),B셋,게임(5),0.7185,0.6419,0.8154,0.6316,50.1s,v1.2
